condition	feature_id	n_perturbations	p_up	p_down	p_const	dominant_state	SSI	stability_deviation	stability_level	dominant_signal_identity	fsf_signal_class
des	RvY_00194-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00195	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00197-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00199-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00200-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00202	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00208-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00212-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00217	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00222-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00228-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00232	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00233-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00235-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00236	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00247	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00250	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00251	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00253-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00275-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00276-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00278	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00279	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00280-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00283-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00291-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00293-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00296-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00297-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00299-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00302-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00303-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00314-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00316-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00323-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00324-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00326-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00329	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00332-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00333-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00343-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00344-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00349-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00352	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00353-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00354-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00356	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00366-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00367-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00374-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00377-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00378-1	2	0	0.5	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
des	RvY_00386-1	2	0.5	0	0.5	mixed	0.5	0.5	instable	instable_no_stable_identity	instable
