condition	n_features	n_instable	instable_proportion	mean_SSI	mean_stability_deviation	median_stability_deviation
des	15187	5837	0.384341871337328	0.8078290643313359	0.192170935668664	0
uv	15187	5399	0.35550141568446697	0.6935019612638629	0.3064980387361371	0.3571428571428571
lt	15187	1211	0.07973925067491934	0.9601303746625404	0.03986962533745967	0
gam	15187	1085	0.07144268124053467	0.8382004345822085	0.16179956541779153	0.125
ht	15187	0	0	1	0	0
osm	15187	0	0	1	0	0
