source	destination	status	exists_after_copy	file_size_bytes
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/enrichment_GO/FSF_all_GO_enrichment_results.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/FSF_all_GO_enrichment_results.tsv	copied	TRUE	140100877
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/enrichment_KEGG/FSF_all_KEGG_enrichment_results.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/FSF_all_KEGG_enrichment_results.tsv	copied	TRUE	15846802
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/stability_landscape/*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/*figure*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/figures/*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/tables/*probability*triangle*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/**/plots/*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/**/*plot*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/**/*heatmap*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/real_data/**/*barplot*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/**/*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/benchmark*/**/*.{pdf,png}	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/noise_gradient/noise_gradient_confusion.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__noise_gradient_confusion.tsv	copied	TRUE	2351
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/noise_gradient/noise_gradient_feature_metrics.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__noise_gradient_feature_metrics.tsv	copied	TRUE	1716115
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/noise_gradient/noise_gradient_recovery_rate.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__noise_gradient_recovery_rate.tsv	copied	TRUE	962
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/noise_gradient/noise_gradient_summary.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__noise_gradient_summary.tsv	copied	TRUE	1914
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/tau_sensitivity/tau_sensitivity_class_counts.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__tau_sensitivity_class_counts.tsv	copied	TRUE	1205
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/tau_sensitivity/tau_sensitivity_feature_metrics.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__tau_sensitivity_feature_metrics.tsv	copied	TRUE	2118527
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/synthetic/tau_sensitivity/tau_sensitivity_summary.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__tau_sensitivity_summary.tsv	copied	TRUE	953
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/benchmark*/**/*.tsv	NA	no_match	FALSE	NA
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/tables/FSF_v1_final_benchmark_report.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__FSF_v1_final_benchmark_report.tsv	copied	TRUE	6472
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/tables/FSF_v1_key_results_for_manuscript.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__FSF_v1_key_results_for_manuscript.tsv	copied	TRUE	1295
/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/tables/fsf_probability_triangle_ready_table.tsv	/media/saji/5E06441D0643F5152/FSF_SIGNAL_STRATIFICATION/results/manuscript/tables/supplementary/synthetic_or_benchmark__fsf_probability_triangle_ready_table.tsv	copied	TRUE	296217
