theme_id	candidate_theme	source	term_id	official_term_name	condition	FSF_region	adjusted_p	enrichment_measure	mapping_basis	historical_theme_relation	evidence_status	author_decision	author_notes
H09	Development and morphogenesis	GO	GO:0048858	cell projection morphogenesis	DES	Low Stability	0.0492580774966078	1.20093391649068	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0055123	digestive system development	DES	Low Stability	0.0492580774966078	1.29865300621635	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H09	Development and morphogenesis	GO	GO:0072359	circulatory system development	DES	Low Stability	0.0492580774966078	1.20093391649068	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0007411	axon guidance	DES	Low Stability	0.00277334537030011	1.37475820195233	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0097485	neuron projection guidance	DES	Low Stability	0.00277334537030011	1.36135551572506	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0008038	neuron recognition	DES	Low Stability	0.00315606613085656	1.60351971804153	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:1902667	regulation of axon guidance	DES	Low Stability	0.00424042062331471	1.89633636220564	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0008045	motor neuron axon guidance	DES	Low Stability	0.00432984502230212	1.69886413370887	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0061564	axon development	DES	Low Stability	0.0149456203978372	1.25472491805878	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0007409	axonogenesis	DES	Low Stability	0.0159019094089265	1.26571156410745	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0048667	cell morphogenesis involved in neuron differentiation	DES	Low Stability	0.0289203035608759	1.22023939519258	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H10	Neural, projection and behavior processes	GO	GO:0048858	cell projection morphogenesis	DES	Low Stability	0.0492580774966078	1.20093391649068	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H13	Broad regulatory and signaling processes	GO	GO:1902667	regulation of axon guidance	DES	Low Stability	0.00424042062331471	1.89633636220564	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H13	Broad regulatory and signaling processes	GO	GO:0050920	regulation of chemotaxis	DES	Low Stability	0.0149456203978372	1.49113628481127	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
H13	Broad regulatory and signaling processes	GO	GO:2000243	positive regulation of reproductive process	DES	Low Stability	0.0492580774966078	1.47333296865598	HISTORICAL_HYPOTHESIS_SUPPORTED	HISTORICAL_HYPOTHESIS	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0042773	ATP synthesis coupled electron transport	DES	Highly Stable	4.0100155037361e-08	4.15494261384672	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0042775	mitochondrial ATP synthesis coupled electron transport	DES	Highly Stable	1.56233883614743e-07	4.04414414414414	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0005753	obsolete mitochondrial proton-transporting ATP synthase complex	DES	Highly Stable	3.74803268827805e-07	8.3410472972973	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C01	Membrane transport and ion homeostasis	GO	GO:0045259	proton-transporting ATP synthase complex	DES	Highly Stable	3.74803268827805e-07	8.3410472972973	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0015985	energy coupled proton transport, down electrochemical gradient	DES	Highly Stable	2.0264383483001e-06	7.41426426426426	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0022900	electron transport chain	DES	Highly Stable	2.06761691552114e-06	2.98496353496353	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	DES	Highly Stable	2.63506845706491e-06	8.08828828828829	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0022904	respiratory electron transport chain	DES	Highly Stable	5.49445559104624e-06	3.29685663924794	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0019646	aerobic electron transport chain	DES	Highly Stable	1.8274444314274e-05	7.79942084942085	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	DES	Highly Stable	5.33953984130512e-05	8.08828828828829	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
C01	Membrane transport and ion homeostasis	GO	GO:0000276	obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	DES	Highly Stable	5.41767050976193e-05	9.43633633633634	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C01	Membrane transport and ion homeostasis	GO	GO:0045263	obsolete proton-transporting ATP synthase complex, coupling factor F(o)	DES	Highly Stable	5.41767050976193e-05	9.43633633633634	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	REQUIRES_AUTHOR_REVIEW		
C01	Membrane transport and ion homeostasis	GO	GO:0016192	vesicle-mediated transport	DES	Highly Stable	0.000171286572753346	1.15274852034441	CURRENT_EVIDENCE_DISCOVERY	NEW_CURRENT_CANDIDATE	CURRENT_TERM_SUPPORT		
