redundancy_group_id	representative_term_id	representative_term_name	member_term_ids	member_count	condition	FSF_region	selection_basis
GR_GAM_Stable_0233	GO:0044030	obsolete regulation of DNA methylation	GO:0044030	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0234	GO:0044214	obsolete spanning component of plasma membrane	GO:0044214	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0235	GO:0044237	obsolete cellular metabolic process	GO:0044237	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0236	GO:0044249	obsolete cellular biosynthetic process	GO:0044249	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0237	GO:0044260	obsolete cellular macromolecule metabolic process	GO:0044260	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0238	GO:0044265	obsolete cellular macromolecule catabolic process	GO:0044265	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0239	GO:0044270	obsolete cellular nitrogen compound catabolic process	GO:0044270	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0240	GO:0044271	obsolete cellular nitrogen compound biosynthetic process	GO:0044271	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0241	GO:0044420	obsolete extracellular matrix component	GO:0044420	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
GR_GAM_Stable_0242	GO:0044422	obsolete organelle part	GO:0044422	1	GAM	Stable	DIRECT_IS_A_OR_SHARED_PARENT; representative has minimum adjusted p
