evidence_row_id	condition	FSF_region	source	term_id	official_term_name	official_namespace_or_identifier_type	adjusted_p	enrichment_measure	significant_term_count_context	mapping_status	candidate_theme_ids	candidate_themes	theme_assignment_status
SEMANTIC_EVIDENCE_00036	DES	Low Stability	GO	GO:0022610	obsolete biological adhesion	biological_process	0.0421315033934876	1.28748055906753	45	obsolete			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00037	DES	Low Stability	GO	GO:0048870	cell motility	biological_process	0.0421315033934876	1.18733110513884	45	mapped	C05	Cytoskeleton and cell motility	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00038	DES	Low Stability	GO	GO:0007424	open tracheal system development	biological_process	0.0458269013684353	1.3249740393207	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00039	DES	Low Stability	GO	GO:0005913	adherens junction	cellular_component	0.0492580774966078	1.75213861873806	45	alternate_id			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00040	DES	Low Stability	GO	GO:0008037	cell recognition	biological_process	0.0492580774966078	1.40454281872251	45	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00041	DES	Low Stability	GO	GO:0035272	exocrine system development	biological_process	0.0492580774966078	1.42764981348214	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00042	DES	Low Stability	GO	GO:0048858	cell projection morphogenesis	biological_process	0.0492580774966078	1.20093391649068	45	mapped	H09;H10	Development and morphogenesis; Neural, projection and behavior processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00043	DES	Low Stability	GO	GO:0055123	digestive system development	biological_process	0.0492580774966078	1.29865300621635	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00044	DES	Low Stability	GO	GO:0072359	circulatory system development	biological_process	0.0492580774966078	1.20093391649068	45	mapped	H09	Development and morphogenesis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00045	DES	Low Stability	GO	GO:2000243	positive regulation of reproductive process	biological_process	0.0492580774966078	1.47333296865598	45	mapped	H13	Broad regulatory and signaling processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00046	DES	Low Stability	KEGG	ko04512	ECM-receptor interaction	PATHWAY	0.044312372626188	2.03365280158366	2	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00047	DES	Low Stability	KEGG	map04512	ECM-receptor interaction	PATHWAY	0.044312372626188	2.03365280158366	2	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_00048	DES	Highly Stable	GO	GO:0022626	cytosolic ribosome	cellular_component	1.03796535357006e-53	9.00551685706325	703	mapped	H01	Translation, ribosome and protein targeting	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00049	DES	Highly Stable	GO	GO:0002181	cytoplasmic translation	biological_process	4.38191241724371e-44	7.78306986231514	703	mapped	H01	Translation, ribosome and protein targeting	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00050	DES	Highly Stable	GO	GO:0003735	structural constituent of ribosome	molecular_function	7.91591214428787e-42	6.10389457780762	703	mapped	H01	Translation, ribosome and protein targeting	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00051	DES	Highly Stable	GO	GO:0044391	ribosomal subunit	cellular_component	5.20676725269764e-38	5.77030323005933	703	mapped	H01	Translation, ribosome and protein targeting	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00052	DES	Highly Stable	GO	GO:0072599	establishment of protein localization to endoplasmic reticulum	biological_process	3.6773832413061e-36	8.59380630630631	703	mapped	C03	Vesicle trafficking and organelle organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00053	DES	Highly Stable	GO	GO:0045047	protein targeting to ER	biological_process	7.56197000343648e-36	8.87297297297297	703	mapped	H01	Translation, ribosome and protein targeting	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_00054	DES	Highly Stable	GO	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	biological_process	8.42690440084638e-36	9.45918460833715	703	mapped	H01	Translation, ribosome and protein targeting	CANDIDATE_MAPPING_AVAILABLE
