condition	stability_level	dominant_state	fsf_signal_class	gene_set_id	KEGG_theme	KEGG_theme_secondary	n_KEGG_themes	best_KEGG_FDR	representative_KEGG_terms	n_genes	n_annotated	annotated_fraction	significant_KEGG_terms_FDR005
lt	highly_stable	up	highly_stable_up	lt__highly_stable__up__highly_stable_up	Other KEGG / manual review	Other KEGG / manual review	1	0.00656021560060552	K00503;K00485;K01581;K11994;K11995;K17712;K22312;K01446;K08203;K08204|K02934	42	40	0.9523809523809524	33
lt	instable	mixed	instable	lt__instable__mixed__instable	Endocrine / physiological regulation	Endocrine / physiological regulation	1	0.01011007217177977	ko04974;map04974|ko03040;map03040	1211	1116	0.921552436003303	4
osm	highly_stable	constant	highly_stable_constant	osm__highly_stable__constant__highly_stable_constant	No significant KEGG enrichment	NA	0	NA	NA	14746	13078	0.8868845788688458	0
osm	highly_stable	down	highly_stable_down	osm__highly_stable__down__highly_stable_down	Cell adhesion / extracellular interaction	Cell adhesion / extracellular interaction	1	0.02245179445007401	ko04550;map04550|K16796;K09267;K21374;K15290;K09628;K00490;K01441;K01858;K04130;K04372|K02934	238	213	0.8949579831932774	49
osm	highly_stable	up	highly_stable_up	osm__highly_stable__up__highly_stable_up	Other KEGG / manual review	Other KEGG / manual review	1	0.00108756036864644	K04448;K14381;K19511;K03283;K09542;K09543;K08237;K01028;K01296;K01396|ko04668;map04668;ko04010;map04010;ko04612;map04612;ko04624;map04624|ko04915;map04915	203	176	0.8669950738916257	98
uv	highly_stable	constant	highly_stable_constant	uv__highly_stable__constant__highly_stable_constant	No significant KEGG enrichment	NA	0	NA	NA	2133	1917	0.8987341772151899	0
uv	highly_stable	down	highly_stable_down	uv__highly_stable__down__highly_stable_down	Other KEGG / manual review	Other KEGG / manual review	1	0.01324878050921879	K05096;K05098;K04362;K05093;K01324;K04147;K04205;K04314;K04349;K04358|ko04510;map04510|ko05224;map05224;ko05218;map05218;ko05200;map05200|ko04010;map04010	117	108	0.9230769230769232	74
uv	highly_stable	up	highly_stable_up	uv__highly_stable__up__highly_stable_up	Other KEGG / manual review	Other KEGG / manual review	1	0.02499922603015403	K03102;K14411;K05349;K00235;K01489;K02259;K03940;K07409;K07918;K07923	141	127	0.900709219858156	63
uv	instable	constant	instable	uv__instable__constant__instable	No significant KEGG enrichment	NA	0	NA	NA	2783	2446	0.8789076536112109	0
uv	instable	down	instable	uv__instable__down__instable	No significant KEGG enrichment	NA	0	NA	NA	787	676	0.8589580686149937	0
uv	instable	mixed	instable	uv__instable__mixed__instable	No significant KEGG enrichment	NA	0	NA	NA	1028	887	0.8628404669260701	0
uv	instable	up	instable	uv__instable__up__instable	No significant KEGG enrichment	NA	0	NA	NA	801	696	0.8689138576779026	0
uv	stable	constant	stable_constant	uv__stable__constant__stable_constant	Other KEGG / manual review	Other KEGG / manual review	1	0.0366100839263939	ko04144;map04144	2596	2332	0.8983050847457628	2
uv	stable	down	stable_down	uv__stable__down__stable_down	Other KEGG / manual review	Other KEGG / manual review	1	0.04077892325315001	K00469;K01104;K01341;K03518;K03791;K04142;K04662;K04964;K04968;K04979|K05612	238	209	0.8781512605042017	78
uv	stable	up	stable_up	uv__stable__up__stable_up	No significant KEGG enrichment	NA	0	NA	NA	317	282	0.889589905362776	0
uv	weakly_stable_transitional	constant	weakly_stable_transitional_constant	uv__weakly_stable_transitional__constant__weakly_stable_transitional_constant	Translation / ribosome	Translation / ribosome	1	3.5349693550187555e-11	ko03010;map03010	3264	2900	0.8884803921568627	2
uv	weakly_stable_transitional	down	weakly_stable_transitional_down	uv__weakly_stable_transitional__down__weakly_stable_transitional_down	Other KEGG / manual review	Other KEGG / manual review	1	0.0126836959269945	K19511|ko04921;map04921;ko04924;map04924|ko04022;map04022	419	383	0.9140811455847256	7
uv	weakly_stable_transitional	up	weakly_stable_transitional_up	uv__weakly_stable_transitional__up__weakly_stable_transitional_up	No significant KEGG enrichment	NA	0	NA	NA	563	504	0.8952042628774423	0
