source	resource_type	retrieval_date	resource_version_or_release	source_location	local_artifact	file_size	sha256	identifier_type	notes
Gene Ontology	go-basic OBO	2026-09-19	releases/2026-07-26	https://purl.obolibrary.org/obo/go/go-basic.obo	current_fsf_v1/manuscript/semantic_authority/raw/go-basic.obo	32227785	b08d45b268b8c24ccb2513dbbbc7d4df9f6521c099b413f79eb31e06e0fa3bcc	GO	Official GO basic ontology; version from OBO header
KEGG	KO descriptions	2026-09-19	KEGG KO 2026-09-18	https://rest.kegg.jp/list/ko	current_fsf_v1/manuscript/semantic_authority/raw/kegg_list_ko.tsv	1648364	bf37ae22839f8805d3034a9e6cc76b55332f901aacaf10a5670749d43b5b0a92	KO	Official KEGG REST list; split at first semicolon
KEGG	PATHWAY map descriptions	2026-09-19	KEGG PATHWAY 2026-09-17	https://rest.kegg.jp/list/pathway	current_fsf_v1/manuscript/semantic_authority/raw/kegg_list_pathway.tsv	22083	46c36040530f1de249615192d7b054cefd366fac0d48243cf82bec22755cfe61	PATHWAY map	Official KEGG REST map pathway list
KEGG	PATHWAY ko descriptions	2026-09-19	KEGG PATHWAY 2026-09-17	https://rest.kegg.jp/list/pathway/ko	current_fsf_v1/manuscript/semantic_authority/raw/kegg_list_pathway_ko.tsv	18098	f0905f26762b75cd2ca9337352f249a11adf939a3cd714c7b940954a428be03d	PATHWAY ko	Official KEGG REST ko pathway list
KEGG	KEGG database metadata	2026-09-19	KEGG 2026-09-18	https://rest.kegg.jp/info/kegg	current_fsf_v1/manuscript/semantic_authority/raw/kegg_info_kegg.txt	811	ce7f0636cb90da1fb1a92c86339fbd74a06f497be3143c709e64e767b61b8955	metadata	Official KEGG REST release metadata
KEGG	KO metadata	2026-09-19	KEGG KO 2026-09-18	https://rest.kegg.jp/info/ko	current_fsf_v1/manuscript/semantic_authority/raw/kegg_info_ko.txt	224	9fdbd543cb2971901f0be21c87339a28db26c87bff9469333534c7a240f466ac	metadata	Official KEGG REST KO metadata
KEGG	PATHWAY metadata	2026-09-19	KEGG PATHWAY 2026-09-17	https://rest.kegg.jp/info/pathway	current_fsf_v1/manuscript/semantic_authority/raw/kegg_info_pathway.txt	219	b59412b70632a0b1cae3e89d6b28bcb39919478f70b28117f05eda2b564421bd	metadata	Official KEGG REST PATHWAY metadata
