kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K05032	KO	ABCC8, SUR1	ATP-binding cassette subfamily C (CFTR/MRP) member 8	KEGG KO 2026-09-18	mapped
K05090	KO	CSF1R, FMS, CD115	macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K05093	KO	FGFR2, CD332	fibroblast growth factor receptor 2 [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K05094	KO	FGFR3, CD333	fibroblast growth factor receptor 3 [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K05095	KO	FGFR4, CD334	fibroblast growth factor receptor 4 [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K05096	KO	FLT1, VEGFR1	FMS-like tyrosine kinase 1 [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K05097	KO	FLT4, VEGFR3	FMS-like tyrosine kinase 4 [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K05098	KO	KDR, VEGFR2, CD309	kinase insert domain protein receptor [EC:2.7.10.1]	KEGG KO 2026-09-18	mapped
K05175	KO	GABRA	gamma-aminobutyric acid receptor subunit alpha	KEGG KO 2026-09-18	mapped
K05181	KO	GABRB	gamma-aminobutyric acid receptor subunit beta	KEGG KO 2026-09-18	mapped
K05184	KO	GABRD	gamma-aminobutyric acid receptor subunit delta	KEGG KO 2026-09-18	mapped
K05193	KO	GLRA1	glycine receptor alpha-1	KEGG KO 2026-09-18	mapped
K05194	KO	GLRA2	glycine receptor alpha-2	KEGG KO 2026-09-18	mapped
K05195	KO	GLRA3	glycine receptor alpha-3	KEGG KO 2026-09-18	mapped
K05242	KO	AVP	arginine vasopressin	KEGG KO 2026-09-18	mapped
K05271	KO	GLRA4	glycine receptor alpha-4	KEGG KO 2026-09-18	mapped
K05273	KO	GRGLCN	glutamate receptor, anionic	KEGG KO 2026-09-18	mapped
K05349	KO	bglX	beta-glucosidase [EC:3.2.1.21]	KEGG KO 2026-09-18	mapped
K05502	KO	BMP1, TLD	bone morphogenetic protein 1 [EC:3.4.24.19]	KEGG KO 2026-09-18	mapped
K05612	KO	SLC1A1, EAAT3	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter), member 1	KEGG KO 2026-09-18	mapped
K05613	KO	SLC1A2, EAAT2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	KEGG KO 2026-09-18	mapped
