go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:0031572	GO:0007095	mitotic G2 DNA damage checkpoint signaling	biological_process	current		releases/2026-07-26	alternate_id
GO:0031618	GO:0005721	pericentric heterochromatin	cellular_component	current		releases/2026-07-26	alternate_id
GO:0031668	GO:0031668	obsolete cellular response to extracellular stimulus	biological_process	obsolete	consider:GO:0051716	releases/2026-07-26	obsolete
GO:0031933	GO:0031933	obsolete telomeric heterochromatin	cellular_component	obsolete		releases/2026-07-26	obsolete
GO:0031935	GO:0031935	obsolete regulation of chromatin silencing	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0031937	GO:0031937	obsolete positive regulation of chromatin silencing	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0032155	GO:0032155	obsolete cell division site part	cellular_component	obsolete	consider:GO:0032153	releases/2026-07-26	obsolete
GO:0032268	GO:0051246	regulation of protein metabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:0032269	GO:0051248	negative regulation of protein metabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:0032270	GO:0051247	positive regulation of protein metabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:0032504	GO:0032504	obsolete multicellular organism reproduction	biological_process	obsolete	replaced_by:GO:0048609	releases/2026-07-26	obsolete
GO:0032508	GO:0032508	obsolete DNA duplex unwinding	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0032947	GO:0060090	molecular adaptor activity	molecular_function	current		releases/2026-07-26	alternate_id
GO:0032990	GO:0032990	obsolete cell part morphogenesis	biological_process	obsolete	replaced_by:GO:0032989	releases/2026-07-26	obsolete
GO:0033267	GO:0033267	obsolete axon part	cellular_component	obsolete	consider:GO:0030424	releases/2026-07-26	obsolete
GO:0033522	GO:0033522	obsolete histone H2A ubiquitination	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0033613	GO:0140297	DNA-binding transcription factor binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0034248	GO:0034248	obsolete regulation of amide metabolic process	biological_process	obsolete	replaced_by:GO:0019222	releases/2026-07-26	obsolete
GO:0034249	GO:0034249	obsolete negative regulation of amide metabolic process	biological_process	obsolete	replaced_by:GO:0009892	releases/2026-07-26	obsolete
GO:0034250	GO:0034250	obsolete positive regulation of amide metabolic process	biological_process	obsolete	replaced_by:GO:0009893	releases/2026-07-26	obsolete
GO:0034401	GO:0034401	obsolete chromatin organization involved in regulation of transcription	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0034470	GO:0034470	obsolete ncRNA processing	biological_process	obsolete	replaced_by:GO:0006396	releases/2026-07-26	obsolete
GO:0034508	GO:0034508	obsolete centromere complex assembly	biological_process	obsolete	consider:GO:0034080;GO:0051382	releases/2026-07-26	obsolete
GO:0034613	GO:0008104	intracellular protein localization	biological_process	current		releases/2026-07-26	alternate_id
GO:0034622	GO:0065003	protein-containing complex assembly	biological_process	current		releases/2026-07-26	alternate_id
GO:0034641	GO:0034641	obsolete cellular nitrogen compound metabolic process	biological_process	obsolete	replaced_by:GO:0008152	releases/2026-07-26	obsolete
GO:0034645	GO:0034645	obsolete cellular macromolecule biosynthetic process	biological_process	obsolete	replaced_by:GO:0009059	releases/2026-07-26	obsolete
GO:0034660	GO:0034660	obsolete ncRNA metabolic process	biological_process	obsolete	replaced_by:GO:0016070	releases/2026-07-26	obsolete
GO:0034724	GO:0006325	chromatin organization	biological_process	current		releases/2026-07-26	alternate_id
GO:0034968	GO:0034968	obsolete histone lysine methylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0034990	GO:0030892	mitotic cohesin complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0034991	GO:0030893	meiotic cohesin complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0035004	GO:0035004	obsolete phosphatidylinositol 3-kinase activity	molecular_function	obsolete	replaced_by:GO:0016303	releases/2026-07-26	obsolete
GO:0035012	GO:0035012	obsolete polytene chromosome, telomeric region	cellular_component	obsolete		releases/2026-07-26	obsolete
GO:0035064	GO:0035064	obsolete methylated histone binding	molecular_function	obsolete	consider:GO:0140566	releases/2026-07-26	obsolete
GO:0035065	GO:0035065	obsolete regulation of histone acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0035068	GO:0016442	RISC complex	cellular_component	current		releases/2026-07-26	alternate_id
GO:0035087	GO:0070922	RISC complex assembly	biological_process	current		releases/2026-07-26	alternate_id
GO:0035093	GO:0035092	sperm DNA condensation	biological_process	current		releases/2026-07-26	alternate_id
GO:0035257	GO:0016922	nuclear receptor binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0035258	GO:0016922	nuclear receptor binding	molecular_function	current		releases/2026-07-26	alternate_id
GO:0035280	GO:0070922	RISC complex assembly	biological_process	current		releases/2026-07-26	alternate_id
GO:0035327	GO:0000791	euchromatin	cellular_component	current		releases/2026-07-26	alternate_id
GO:0035383	GO:0035383	obsolete thioester metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0035518	GO:0035518	obsolete histone H2A monoubiquitination	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0035561	GO:0035561	obsolete regulation of chromatin binding	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0035616	GO:0035616	obsolete histone H2B conserved C-terminal lysine deubiquitination	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0035690	GO:0071466	cellular response to xenobiotic stimulus	biological_process	current		releases/2026-07-26	alternate_id
GO:0036003	GO:0036003	obsolete positive regulation of transcription from RNA polymerase II promoter in response to stress	biological_process	obsolete	consider:GO:0033554;GO:0045944	releases/2026-07-26	obsolete
GO:0036123	GO:0036123	obsolete histone H3-K9 dimethylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0036251	GO:0036251	obsolete positive regulation of transcription from RNA polymerase II promoter in response to salt stress	biological_process	obsolete	consider:GO:0045944;GO:0071472	releases/2026-07-26	obsolete
GO:0036459	GO:0004843	cysteine-type deubiquitinase activity	molecular_function	current		releases/2026-07-26	alternate_id
GO:0038028	GO:0038028	obsolete insulin receptor signaling pathway via phosphatidylinositol 3-kinase	biological_process	obsolete	replaced_by:GO:0008286	releases/2026-07-26	obsolete
GO:0039519	GO:0039519	obsolete modulation by virus of host autophagy	biological_process	obsolete	replaced_by:GO:0075071	releases/2026-07-26	obsolete
GO:0040035	GO:0040035	obsolete hermaphrodite genitalia development	biological_process	obsolete	consider:GO:0030540	releases/2026-07-26	obsolete
GO:0042125	GO:0042125	obsolete protein galactosylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0042133	GO:0042133	obsolete neurotransmitter metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0042136	GO:0042136	obsolete neurotransmitter biosynthetic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0042439	GO:0042439	obsolete ethanolamine-containing compound metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0042493	GO:0009410	response to xenobiotic stimulus	biological_process	current		releases/2026-07-26	alternate_id
GO:0042623	GO:0016887	ATP hydrolysis activity	molecular_function	current		releases/2026-07-26	alternate_id
GO:0042737	GO:0042178	xenobiotic catabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:0042766	GO:0042766	obsolete nucleosome mobilization	biological_process	obsolete	consider:GO:0140658;GO:0140750;GO:0140751	releases/2026-07-26	obsolete
GO:0042788	GO:0042788	obsolete polysomal ribosome	cellular_component	obsolete	consider:GO:0005840	releases/2026-07-26	obsolete
GO:0042886	GO:0042886	obsolete amide transport	biological_process	obsolete	replaced_by:GO:0071705	releases/2026-07-26	obsolete
GO:0042891	GO:0042891	obsolete antibiotic transport	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043044	GO:0006338	chromatin remodeling	biological_process	current		releases/2026-07-26	alternate_id
GO:0043046	GO:0043046	obsolete DNA methylation involved in gamete generation	biological_process	obsolete	replaced_by:GO:0071514	releases/2026-07-26	obsolete
GO:0043225	GO:0043225	obsolete ATPase-coupled inorganic anion transmembrane transporter activity	molecular_function	obsolete	replaced_by:GO:0042626	releases/2026-07-26	obsolete
GO:0043433	GO:0043433	obsolete negative regulation of DNA-binding transcription factor activity	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043486	GO:0043486	obsolete histone exchange	biological_process	obsolete	consider:GO:0006338;GO:0140713	releases/2026-07-26	obsolete
GO:0043492	GO:0042626	ATPase-coupled transmembrane transporter activity	molecular_function	current		releases/2026-07-26	alternate_id
GO:0043551	GO:0043551	obsolete regulation of phosphatidylinositol 3-kinase activity	biological_process	obsolete	consider:GO:0035014	releases/2026-07-26	obsolete
GO:0043603	GO:0043603	obsolete amide metabolic process	biological_process	obsolete	replaced_by:GO:0008152	releases/2026-07-26	obsolete
GO:0043604	GO:0043604	obsolete amide biosynthetic process	biological_process	obsolete	replaced_by:GO:0009058	releases/2026-07-26	obsolete
GO:0043618	GO:0043618	obsolete regulation of transcription from RNA polymerase II promoter in response to stress	biological_process	obsolete	consider:GO:0006357;GO:0033554	releases/2026-07-26	obsolete
GO:0043620	GO:0043620	obsolete regulation of DNA-templated transcription in response to stress	biological_process	obsolete	consider:GO:0006355;GO:0033554	releases/2026-07-26	obsolete
GO:0043621	GO:0043621	obsolete protein self-association	molecular_function	obsolete		releases/2026-07-26	obsolete
GO:0043624	GO:0032984	protein-containing complex disassembly	biological_process	current		releases/2026-07-26	alternate_id
GO:0043631	GO:0043631	obsolete RNA polyadenylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043900	GO:0043900	obsolete regulation of multi-organism process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043902	GO:0043902	obsolete positive regulation of multi-organism process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043928	GO:0043928	obsolete exonucleolytic catabolism of deadenylated mRNA	biological_process	obsolete	replaced_by:GO:0000288	releases/2026-07-26	obsolete
GO:0043966	GO:0043966	obsolete histone H3 acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043967	GO:0043967	obsolete histone H4 acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043972	GO:0043972	obsolete histone H3-K23 acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043974	GO:0043974	obsolete histone H3-K27 acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043981	GO:0043981	obsolete histone H4-K5 acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043982	GO:0043982	obsolete histone H4-K8 acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0043984	GO:0043984	obsolete histone H4-K16 acetylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:0044030	GO:0044030	obsolete regulation of DNA methylation	biological_process	obsolete	consider:GO:0030234;GO:0040029	releases/2026-07-26	obsolete
GO:0044106	GO:0009308	amine metabolic process	biological_process	current		releases/2026-07-26	alternate_id
GO:0044107	GO:0044107	obsolete cellular alcohol metabolic process	biological_process	obsolete	replaced_by:GO:0006066	releases/2026-07-26	obsolete
GO:0044108	GO:0044108	obsolete cellular alcohol biosynthetic process	biological_process	obsolete	replaced_by:GO:0046165	releases/2026-07-26	obsolete
