go_id	canonical_go_id	go_name	go_namespace	obsolete_status	replacement_or_consider	source_version	mapping_status
GO:1900040	GO:0032663	regulation of interleukin-2 production	biological_process	current		releases/2026-07-26	alternate_id
GO:1900042	GO:0032743	positive regulation of interleukin-2 production	biological_process	current		releases/2026-07-26	alternate_id
GO:1900076	GO:1900076	regulation of cellular response to insulin stimulus	biological_process	current		releases/2026-07-26	mapped
GO:1900078	GO:1900078	positive regulation of cellular response to insulin stimulus	biological_process	current		releases/2026-07-26	mapped
GO:1900087	GO:1900087	positive regulation of G1/S transition of mitotic cell cycle	biological_process	current		releases/2026-07-26	mapped
GO:1900111	GO:1900111	obsolete positive regulation of histone H3-K9 dimethylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1900151	GO:1900151	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process	current		releases/2026-07-26	mapped
GO:1900153	GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process	current		releases/2026-07-26	mapped
GO:1900180	GO:1900180	regulation of protein localization to nucleus	biological_process	current		releases/2026-07-26	mapped
GO:1900181	GO:1900181	negative regulation of protein localization to nucleus	biological_process	current		releases/2026-07-26	mapped
GO:1900182	GO:1900182	positive regulation of protein localization to nucleus	biological_process	current		releases/2026-07-26	mapped
GO:1900271	GO:1900271	regulation of long-term synaptic potentiation	biological_process	current		releases/2026-07-26	mapped
GO:1900363	GO:1900363	obsolete regulation of mRNA polyadenylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1900364	GO:1900364	obsolete negative regulation of mRNA polyadenylation	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1900747	GO:1900747	negative regulation of vascular endothelial growth factor signaling pathway	biological_process	current		releases/2026-07-26	mapped
GO:1901071	GO:1901071	obsolete glucosamine-containing compound metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901072	GO:1901072	glucosamine-containing compound catabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1901073	GO:1901073	glucosamine-containing compound biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1901135	GO:1901135	carbohydrate derivative metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1901136	GO:1901136	carbohydrate derivative catabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1901165	GO:1901165	positive regulation of trophoblast cell migration	biological_process	current		releases/2026-07-26	mapped
GO:1901214	GO:1901214	obsolete regulation of neuron death	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901215	GO:1901215	obsolete negative regulation of neuron death	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901216	GO:1901216	obsolete positive regulation of neuron death	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901265	GO:1901265	nucleoside phosphate binding	molecular_function	current		releases/2026-07-26	mapped
GO:1901342	GO:1901342	regulation of vasculature development	biological_process	current		releases/2026-07-26	mapped
GO:1901360	GO:1901360	obsolete organic cyclic compound metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901361	GO:1901361	obsolete organic cyclic compound catabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901362	GO:1901362	obsolete organic cyclic compound biosynthetic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901363	GO:1901363	heterocyclic compound binding	molecular_function	current		releases/2026-07-26	mapped
GO:1901475	GO:1901475	pyruvate transmembrane transport	biological_process	current		releases/2026-07-26	mapped
GO:1901532	GO:1901532	regulation of hematopoietic progenitor cell differentiation	biological_process	current		releases/2026-07-26	mapped
GO:1901537	GO:1901537	obsolete positive regulation of DNA demethylation	biological_process	obsolete	consider:GO:0141166;GO:0141167;GO:0141168;GO:0141169	releases/2026-07-26	obsolete
GO:1901564	GO:1901564	obsolete organonitrogen compound metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901565	GO:1901565	obsolete organonitrogen compound catabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901566	GO:1901566	obsolete organonitrogen compound biosynthetic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901568	GO:1901568	fatty acid derivative metabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1901570	GO:1901570	fatty acid derivative biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1901575	GO:1901575	obsolete organic substance catabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901576	GO:1901576	obsolete organic substance biosynthetic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901605	GO:1901605	obsolete alpha-amino acid metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901606	GO:1901606	obsolete alpha-amino acid catabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901607	GO:1901607	obsolete alpha-amino acid biosynthetic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901617	GO:1901617	obsolete organic hydroxy compound biosynthetic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901652	GO:1901652	response to peptide	biological_process	current		releases/2026-07-26	mapped
GO:1901653	GO:1901653	cellular response to peptide	biological_process	current		releases/2026-07-26	mapped
GO:1901654	GO:1901654	response to ketone	biological_process	current		releases/2026-07-26	mapped
GO:1901655	GO:1901655	cellular response to ketone	biological_process	current		releases/2026-07-26	mapped
GO:1901674	GO:1901674	obsolete regulation of histone H3-K27 acetylation	biological_process	obsolete	consider:GO:0031507;GO:0045815	releases/2026-07-26	obsolete
GO:1901681	GO:1901681	sulfur compound binding	molecular_function	current		releases/2026-07-26	mapped
GO:1901685	GO:1901685	obsolete glutathione derivative metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1901687	GO:1901687	glutathione derivative biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1901698	GO:1901698	response to nitrogen compound	biological_process	current		releases/2026-07-26	mapped
GO:1901699	GO:1901699	cellular response to nitrogen compound	biological_process	current		releases/2026-07-26	mapped
GO:1901700	GO:1901700	response to oxygen-containing compound	biological_process	current		releases/2026-07-26	mapped
GO:1901701	GO:1901701	cellular response to oxygen-containing compound	biological_process	current		releases/2026-07-26	mapped
GO:1901796	GO:1901796	regulation of signal transduction by p53 class mediator	biological_process	current		releases/2026-07-26	mapped
GO:1901799	GO:1901799	negative regulation of proteasomal protein catabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1901800	GO:1901800	positive regulation of proteasomal protein catabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1901879	GO:1901879	regulation of protein depolymerization	biological_process	current		releases/2026-07-26	mapped
GO:1901880	GO:1901880	negative regulation of protein depolymerization	biological_process	current		releases/2026-07-26	mapped
GO:1901888	GO:1901888	regulation of cell junction assembly	biological_process	current		releases/2026-07-26	mapped
GO:1901950	GO:1901950	dense core granule transport	biological_process	current		releases/2026-07-26	mapped
GO:1901981	GO:1901981	phosphatidylinositol phosphate binding	molecular_function	current		releases/2026-07-26	mapped
GO:1901983	GO:1901983	regulation of protein acetylation	biological_process	current		releases/2026-07-26	mapped
GO:1901987	GO:1901987	regulation of cell cycle phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1901988	GO:1901988	negative regulation of cell cycle phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1901989	GO:1901989	positive regulation of cell cycle phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1901990	GO:1901990	regulation of mitotic cell cycle phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1901991	GO:1901991	negative regulation of mitotic cell cycle phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1901992	GO:1901992	positive regulation of mitotic cell cycle phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1902001	GO:1902001	fatty acid transmembrane transport	biological_process	current		releases/2026-07-26	mapped
GO:1902038	GO:1902038	positive regulation of hematopoietic stem cell differentiation	biological_process	current		releases/2026-07-26	mapped
GO:1902074	GO:1902074	response to salt	biological_process	current		releases/2026-07-26	mapped
GO:1902075	GO:1902075	cellular response to salt	biological_process	current		releases/2026-07-26	mapped
GO:1902099	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	biological_process	current		releases/2026-07-26	mapped
GO:1902105	GO:1902105	regulation of leukocyte differentiation	biological_process	current		releases/2026-07-26	mapped
GO:1902115	GO:1902115	regulation of organelle assembly	biological_process	current		releases/2026-07-26	mapped
GO:1902117	GO:1902117	positive regulation of organelle assembly	biological_process	current		releases/2026-07-26	mapped
GO:1902177	GO:1902177	positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	biological_process	current		releases/2026-07-26	mapped
GO:1902186	GO:1902186	obsolete regulation of viral release from host cell	biological_process	obsolete	replaced_by:GO:0019076	releases/2026-07-26	obsolete
GO:1902221	GO:1902221	obsolete erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1902222	GO:1902222	obsolete erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1902275	GO:1902275	regulation of chromatin organization	biological_process	current		releases/2026-07-26	mapped
GO:1902287	GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	biological_process	current		releases/2026-07-26	mapped
GO:1902305	GO:1902305	regulation of sodium ion transmembrane transport	biological_process	current		releases/2026-07-26	mapped
GO:1902306	GO:1902306	negative regulation of sodium ion transmembrane transport	biological_process	current		releases/2026-07-26	mapped
GO:1902307	GO:1902307	positive regulation of sodium ion transmembrane transport	biological_process	current		releases/2026-07-26	mapped
GO:1902369	GO:1902369	negative regulation of RNA catabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1902373	GO:1902373	negative regulation of mRNA catabolic process	biological_process	current		releases/2026-07-26	mapped
GO:1902400	GO:0031571	mitotic G1 DNA damage checkpoint signaling	biological_process	current		releases/2026-07-26	alternate_id
GO:1902459	GO:1902459	positive regulation of stem cell population maintenance	biological_process	current		releases/2026-07-26	mapped
GO:1902493	GO:1902493	acetyltransferase complex	cellular_component	current		releases/2026-07-26	mapped
GO:1902494	GO:1902494	catalytic complex	cellular_component	current		releases/2026-07-26	mapped
GO:1902495	GO:1902495	transmembrane transporter complex	cellular_component	current		releases/2026-07-26	mapped
GO:1902498	GO:1902498	regulation of protein autoubiquitination	biological_process	current		releases/2026-07-26	mapped
GO:1902531	GO:1902531	regulation of intracellular signal transduction	biological_process	current		releases/2026-07-26	mapped
GO:1902532	GO:1902532	negative regulation of intracellular signal transduction	biological_process	current		releases/2026-07-26	mapped
GO:1902533	GO:1902533	positive regulation of intracellular signal transduction	biological_process	current		releases/2026-07-26	mapped
GO:1902548	GO:1902548	negative regulation of cellular response to vascular endothelial growth factor stimulus	biological_process	current		releases/2026-07-26	mapped
GO:1902554	GO:1902554	serine/threonine protein kinase complex	cellular_component	current		releases/2026-07-26	mapped
GO:1902562	GO:1902562	H4 histone acetyltransferase complex	cellular_component	current		releases/2026-07-26	mapped
GO:1902579	GO:1902579	obsolete multi-organism localization	biological_process	obsolete		releases/2026-07-26	obsolete
GO:1902600	GO:1902600	proton transmembrane transport	biological_process	current		releases/2026-07-26	mapped
GO:1902617	GO:1902617	response to fluoride	biological_process	current		releases/2026-07-26	mapped
GO:1902667	GO:1902667	regulation of axon guidance	biological_process	current		releases/2026-07-26	mapped
GO:1902669	GO:1902669	positive regulation of axon guidance	biological_process	current		releases/2026-07-26	mapped
GO:1902679	GO:1902679	negative regulation of RNA biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1902680	GO:1902680	positive regulation of RNA biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1902692	GO:1902692	regulation of neuroblast proliferation	biological_process	current		releases/2026-07-26	mapped
GO:1902749	GO:1902749	regulation of cell cycle G2/M phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1902750	GO:1902750	negative regulation of cell cycle G2/M phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1902806	GO:1902806	regulation of cell cycle G1/S phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1902807	GO:1902807	negative regulation of cell cycle G1/S phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1902808	GO:1902808	positive regulation of cell cycle G1/S phase transition	biological_process	current		releases/2026-07-26	mapped
GO:1902850	GO:1902850	microtubule cytoskeleton organization involved in mitosis	biological_process	current		releases/2026-07-26	mapped
GO:1902875	GO:1902875	regulation of embryonic pattern specification	biological_process	current		releases/2026-07-26	mapped
GO:1902895	GO:1902895	positive regulation of miRNA transcription	biological_process	current		releases/2026-07-26	mapped
GO:1902903	GO:1902903	regulation of supramolecular fiber organization	biological_process	current		releases/2026-07-26	mapped
GO:1902904	GO:1902904	negative regulation of supramolecular fiber organization	biological_process	current		releases/2026-07-26	mapped
GO:1902905	GO:1902905	positive regulation of supramolecular fiber organization	biological_process	current		releases/2026-07-26	mapped
GO:1902930	GO:1902930	regulation of alcohol biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1902931	GO:1902931	negative regulation of alcohol biosynthetic process	biological_process	current		releases/2026-07-26	mapped
GO:1902969	GO:1902969	mitotic DNA replication	biological_process	current		releases/2026-07-26	mapped
GO:1903046	GO:1903046	meiotic cell cycle process	biological_process	current		releases/2026-07-26	mapped
GO:1903047	GO:1903047	mitotic cell cycle process	biological_process	current		releases/2026-07-26	mapped
GO:1903050	GO:1903050	obsolete regulation of proteolysis involved in protein catabolic process	biological_process	obsolete	replaced_by:GO:0042176	releases/2026-07-26	obsolete
