gene_set_id	enrichment_type	query_size	status	result_rows
LT__Low_Stability__tied__Low_Stability	PATHWAY	388	TESTED	632
OSM__Highly_Stable	KO	7178	TESTED	5755
OSM__Highly_Stable	PATHWAY	4680	TESTED	786
OSM__Highly_Stable__constant__Highly_Stable_Constant	KO	7010	TESTED	5683
OSM__Highly_Stable__constant__Highly_Stable_Constant	PATHWAY	4575	TESTED	786
OSM__Highly_Stable__down	KO	97	TESTED	158
OSM__Highly_Stable__down	PATHWAY	60	TESTED	246
OSM__Highly_Stable__down__Highly_Stable_Down	KO	97	TESTED	158
OSM__Highly_Stable__down__Highly_Stable_Down	PATHWAY	60	TESTED	246
OSM__Highly_Stable__up	KO	71	TESTED	98
OSM__Highly_Stable__up	PATHWAY	45	TESTED	298
OSM__Highly_Stable__up__Highly_Stable_Up	KO	71	TESTED	98
OSM__Highly_Stable__up__Highly_Stable_Up	PATHWAY	45	TESTED	298
UV__Highly_Stable	KO	1121	TESTED	1325
UV__Highly_Stable	PATHWAY	748	TESTED	680
UV__Highly_Stable__constant__Highly_Stable_Constant	KO	1020	TESTED	1200
UV__Highly_Stable__constant__Highly_Stable_Constant	PATHWAY	676	TESTED	670
UV__Highly_Stable__down	KO	44	TESTED	73
UV__Highly_Stable__down	PATHWAY	31	TESTED	258
UV__Highly_Stable__down__Highly_Stable_Down	KO	44	TESTED	73
UV__Highly_Stable__down__Highly_Stable_Down	PATHWAY	31	TESTED	258
UV__Highly_Stable__up	KO	57	TESTED	85
UV__Highly_Stable__up	PATHWAY	41	TESTED	408
UV__Highly_Stable__up__Highly_Stable_Up	KO	57	TESTED	85
UV__Highly_Stable__up__Highly_Stable_Up	PATHWAY	41	TESTED	408
UV__Low_Stability	KO	1282	TESTED	1457
UV__Low_Stability	PATHWAY	811	TESTED	702
UV__Low_Stability__constant__Low_Stability	KO	522	TESTED	663
UV__Low_Stability__constant__Low_Stability	PATHWAY	332	TESTED	608
UV__Low_Stability__down__Low_Stability	KO	152	TESTED	205
UV__Low_Stability__down__Low_Stability	PATHWAY	102	TESTED	366
UV__Low_Stability__tied__Low_Stability	KO	474	TESTED	599
UV__Low_Stability__tied__Low_Stability	PATHWAY	302	TESTED	606
UV__Low_Stability__up__Low_Stability	KO	134	TESTED	199
UV__Low_Stability__up__Low_Stability	PATHWAY	75	TESTED	296
UV__Stable	KO	1572	TESTED	1784
UV__Stable	PATHWAY	1022	TESTED	714
UV__Stable__constant__Stable_Constant	KO	1331	TESTED	1530
UV__Stable__constant__Stable_Constant	PATHWAY	853	TESTED	700
UV__Stable__down	KO	89	TESTED	148
UV__Stable__down	PATHWAY	58	TESTED	300
UV__Stable__down__Stable_Down	KO	89	TESTED	148
UV__Stable__down__Stable_Down	PATHWAY	58	TESTED	300
UV__Stable__up	KO	152	TESTED	203
UV__Stable__up	PATHWAY	111	TESTED	460
UV__Stable__up__Stable_Up	KO	152	TESTED	203
UV__Stable__up__Stable_Up	PATHWAY	111	TESTED	460
UV__Transitional	KO	3203	TESTED	3177
UV__Transitional	PATHWAY	2099	TESTED	760
UV__Transitional__constant__Transitional_Constant	KO	2381	TESTED	2532
UV__Transitional__constant__Transitional_Constant	PATHWAY	1559	TESTED	740
UV__Transitional__down__Transitional_Down	KO	372	TESTED	502
UV__Transitional__down__Transitional_Down	PATHWAY	252	TESTED	610
UV__Transitional__up__Transitional_Up	KO	450	TESTED	582
UV__Transitional__up__Transitional_Up	PATHWAY	288	TESTED	622
