gene_set_id	gene_set_family	condition	stability_region	dominant_state	signal_class	enrichment_type	kegg_term	query_size	background_size	query_overlap_count	background_term_count	query_fraction	background_fraction	enrichment_ratio	p_value	adjusted_p_value	significant	contributing_feature_ids	all_feature_count	annotated_feature_count
DES__Highly_Stable	collapsed_stability	DES	Highly Stable	NA	NA	PATHWAY	ko03010	2879	4680	118	135	0.04098645362973254	0.028846153846153848	1.4208637258307282	1.3310919574552457e-11	5.031527599180829e-9	TRUE	RvY_00120-2;RvY_00564-1;RvY_00579-1;RvY_00639-1;RvY_00677-1;RvY_00692-1;RvY_01164;RvY_01278-1;RvY_01330-1;RvY_01350-1;RvY_01352-1;RvY_01600-1;RvY_01605-1;RvY_02145-1;RvY_02417-1;RvY_02479-1;RvY_02498-1;RvY_02609-1;RvY_02724-1;RvY_02780-1;RvY_02986;RvY_03409-1;RvY_03631-1;RvY_03959-1;RvY_04857-1;RvY_04966-1;RvY_05313-1;RvY_05407-1;RvY_05551-1;RvY_05693-1;RvY_05826-1;RvY_06214-1;RvY_06385-1;RvY_06929-1;RvY_07051-1;RvY_07166-1;RvY_07263-1;RvY_07394-1;RvY_07530;RvY_07609-1;RvY_07746-1;RvY_08150-1;RvY_08165-1;RvY_08187-1;RvY_08210-1;RvY_08492-1;RvY_08520-1;RvY_08525-1;RvY_09109-1;RvY_09206-1;RvY_09258-1;RvY_09291-1;RvY_09347-1;RvY_09370-1;RvY_09390-1;RvY_09404-1;RvY_09405-1;RvY_09439-1;RvY_09446-1;RvY_09491-1;RvY_09844-1;RvY_09890-1;RvY_09974-1;RvY_10069-1;RvY_10245-1;RvY_10818-1;RvY_11608-1;RvY_12918-1;RvY_12935-1;RvY_13150-1;RvY_13178-1;RvY_13500-1;RvY_13994-1;RvY_14253-1;RvY_14449-1;RvY_14476-1;RvY_14490-1;RvY_14502;RvY_14544-1;RvY_15163-1;RvY_15405-1;RvY_15407-1;RvY_15424-1;RvY_15534-1;RvY_15604-1;RvY_15730-1;RvY_15820-1;RvY_15866-1;RvY_15900-1;RvY_15939-1;RvY_15951-1;RvY_16409-1;RvY_16524-1;RvY_16589-1;RvY_16736;RvY_17065-1;RvY_17098-1;RvY_17174-1;RvY_17380-1;RvY_17395-1;RvY_17396-1;RvY_17495-1;RvY_17706-1;RvY_17822-1;RvY_17830-1;RvY_17831-1;RvY_17849-1;RvY_18027-1;RvY_18251-1;RvY_18328-1;RvY_18440-1;RvY_18498-1;RvY_18499-1;RvY_18550-1;RvY_18605-1;RvY_19290-1;RvY_19496-0;RvY_19510-1	9350	8218
DES__Highly_Stable	collapsed_stability	DES	Highly Stable	NA	NA	PATHWAY	map03010	2879	4680	118	135	0.04098645362973254	0.028846153846153848	1.4208637258307282	1.3310919574552457e-11	5.031527599180829e-9	TRUE	RvY_00120-2;RvY_00564-1;RvY_00579-1;RvY_00639-1;RvY_00677-1;RvY_00692-1;RvY_01164;RvY_01278-1;RvY_01330-1;RvY_01350-1;RvY_01352-1;RvY_01600-1;RvY_01605-1;RvY_02145-1;RvY_02417-1;RvY_02479-1;RvY_02498-1;RvY_02609-1;RvY_02724-1;RvY_02780-1;RvY_02986;RvY_03409-1;RvY_03631-1;RvY_03959-1;RvY_04857-1;RvY_04966-1;RvY_05313-1;RvY_05407-1;RvY_05551-1;RvY_05693-1;RvY_05826-1;RvY_06214-1;RvY_06385-1;RvY_06929-1;RvY_07051-1;RvY_07166-1;RvY_07263-1;RvY_07394-1;RvY_07530;RvY_07609-1;RvY_07746-1;RvY_08150-1;RvY_08165-1;RvY_08187-1;RvY_08210-1;RvY_08492-1;RvY_08520-1;RvY_08525-1;RvY_09109-1;RvY_09206-1;RvY_09258-1;RvY_09291-1;RvY_09347-1;RvY_09370-1;RvY_09390-1;RvY_09404-1;RvY_09405-1;RvY_09439-1;RvY_09446-1;RvY_09491-1;RvY_09844-1;RvY_09890-1;RvY_09974-1;RvY_10069-1;RvY_10245-1;RvY_10818-1;RvY_11608-1;RvY_12918-1;RvY_12935-1;RvY_13150-1;RvY_13178-1;RvY_13500-1;RvY_13994-1;RvY_14253-1;RvY_14449-1;RvY_14476-1;RvY_14490-1;RvY_14502;RvY_14544-1;RvY_15163-1;RvY_15405-1;RvY_15407-1;RvY_15424-1;RvY_15534-1;RvY_15604-1;RvY_15730-1;RvY_15820-1;RvY_15866-1;RvY_15900-1;RvY_15939-1;RvY_15951-1;RvY_16409-1;RvY_16524-1;RvY_16589-1;RvY_16736;RvY_17065-1;RvY_17098-1;RvY_17174-1;RvY_17380-1;RvY_17395-1;RvY_17396-1;RvY_17495-1;RvY_17706-1;RvY_17822-1;RvY_17830-1;RvY_17831-1;RvY_17849-1;RvY_18027-1;RvY_18251-1;RvY_18328-1;RvY_18440-1;RvY_18498-1;RvY_18499-1;RvY_18550-1;RvY_18605-1;RvY_19290-1;RvY_19496-0;RvY_19510-1	9350	8218
DES__Highly_Stable	collapsed_stability	DES	Highly Stable	NA	NA	PATHWAY	ko04138	2879	4680	54	66	0.0187565126780132	0.014102564102564103	1.3300072626227541	2.8912006403820467e-4	0.03846091040600981	TRUE	RvY_00179-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02065-1;RvY_02575;RvY_02576-1;RvY_02592-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04296-1;RvY_04509-1;RvY_05064-1;RvY_05197-1;RvY_05401;RvY_05991-1;RvY_06479-1;RvY_06690-1;RvY_07198;RvY_07367-1;RvY_07939-1;RvY_08517-1;RvY_09057-1;RvY_09336-1;RvY_09434-1;RvY_09671-1;RvY_10004-1;RvY_10460;RvY_10644-1;RvY_10668-1;RvY_11067;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13026-1;RvY_13166-1;RvY_13359-1;RvY_13597-1;RvY_13689-1;RvY_13924-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15521-1;RvY_15977-1;RvY_16009-1;RvY_16150-1;RvY_17746;RvY_18224-1;RvY_18559-1;RvY_19281-1;RvY_19326-1	9350	8218
DES__Highly_Stable	collapsed_stability	DES	Highly Stable	NA	NA	PATHWAY	map04138	2879	4680	54	66	0.0187565126780132	0.014102564102564103	1.3300072626227541	2.8912006403820467e-4	0.03846091040600981	TRUE	RvY_00179-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02065-1;RvY_02575;RvY_02576-1;RvY_02592-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04296-1;RvY_04509-1;RvY_05064-1;RvY_05197-1;RvY_05401;RvY_05991-1;RvY_06479-1;RvY_06690-1;RvY_07198;RvY_07367-1;RvY_07939-1;RvY_08517-1;RvY_09057-1;RvY_09336-1;RvY_09434-1;RvY_09671-1;RvY_10004-1;RvY_10460;RvY_10644-1;RvY_10668-1;RvY_11067;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13026-1;RvY_13166-1;RvY_13359-1;RvY_13597-1;RvY_13689-1;RvY_13924-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15521-1;RvY_15977-1;RvY_16009-1;RvY_16150-1;RvY_17746;RvY_18224-1;RvY_18559-1;RvY_19281-1;RvY_19326-1	9350	8218
DES__Highly_Stable	collapsed_stability	DES	Highly Stable	NA	NA	PATHWAY	ko00970	2879	4680	46	55	0.01597777005904828	0.011752136752136752	1.3595629795699262	3.0524532068261755e-4	0.03846091040600981	TRUE	RvY_00331-1;RvY_00753-1;RvY_01570-1;RvY_02144-1;RvY_02840-1;RvY_03935;RvY_03956-1;RvY_04310-1;RvY_04929-1;RvY_05344-1;RvY_05427-1;RvY_05500-1;RvY_05568-1;RvY_06243-1;RvY_06511-1;RvY_06512-1;RvY_06546-1;RvY_07065-1;RvY_07142-1;RvY_07193-1;RvY_07499-1;RvY_08786-1;RvY_08939-1;RvY_09087-1;RvY_09533-1;RvY_09572-1;RvY_09804-1;RvY_10560;RvY_10839-1;RvY_10840-1;RvY_11076-1;RvY_12903-1;RvY_13361-1;RvY_14392-1;RvY_14678-1;RvY_16736;RvY_16912;RvY_16965-1;RvY_17102;RvY_17186;RvY_17380-1;RvY_17712-1;RvY_18219-1;RvY_18561-1;RvY_18609-1;RvY_18952-1	9350	8218
DES__Highly_Stable	collapsed_stability	DES	Highly Stable	NA	NA	PATHWAY	map00970	2879	4680	46	55	0.01597777005904828	0.011752136752136752	1.3595629795699262	3.0524532068261755e-4	0.03846091040600981	TRUE	RvY_00331-1;RvY_00753-1;RvY_01570-1;RvY_02144-1;RvY_02840-1;RvY_03935;RvY_03956-1;RvY_04310-1;RvY_04929-1;RvY_05344-1;RvY_05427-1;RvY_05500-1;RvY_05568-1;RvY_06243-1;RvY_06511-1;RvY_06512-1;RvY_06546-1;RvY_07065-1;RvY_07142-1;RvY_07193-1;RvY_07499-1;RvY_08786-1;RvY_08939-1;RvY_09087-1;RvY_09533-1;RvY_09572-1;RvY_09804-1;RvY_10560;RvY_10839-1;RvY_10840-1;RvY_11076-1;RvY_12903-1;RvY_13361-1;RvY_14392-1;RvY_14678-1;RvY_16736;RvY_16912;RvY_16965-1;RvY_17102;RvY_17186;RvY_17380-1;RvY_17712-1;RvY_18219-1;RvY_18561-1;RvY_18609-1;RvY_18952-1	9350	8218
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	ko04138	2251	4680	54	66	0.023989338071968014	0.014102564102564103	1.7010621541940956	1.2963650150745083e-8	4.861368806529406e-6	TRUE	RvY_00179-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02065-1;RvY_02575;RvY_02576-1;RvY_02592-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04296-1;RvY_04509-1;RvY_05064-1;RvY_05197-1;RvY_05401;RvY_05991-1;RvY_06479-1;RvY_06690-1;RvY_07198;RvY_07367-1;RvY_07939-1;RvY_08517-1;RvY_09057-1;RvY_09336-1;RvY_09434-1;RvY_09671-1;RvY_10004-1;RvY_10460;RvY_10644-1;RvY_10668-1;RvY_11067;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13026-1;RvY_13166-1;RvY_13359-1;RvY_13597-1;RvY_13689-1;RvY_13924-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15521-1;RvY_15977-1;RvY_16009-1;RvY_16150-1;RvY_17746;RvY_18224-1;RvY_18559-1;RvY_19281-1;RvY_19326-1	7439	6489
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	map04138	2251	4680	54	66	0.023989338071968014	0.014102564102564103	1.7010621541940956	1.2963650150745083e-8	4.861368806529406e-6	TRUE	RvY_00179-1;RvY_00951-1;RvY_01115-1;RvY_01123-1;RvY_02065-1;RvY_02575;RvY_02576-1;RvY_02592-1;RvY_02777;RvY_03179;RvY_03360;RvY_04122-1;RvY_04296-1;RvY_04509-1;RvY_05064-1;RvY_05197-1;RvY_05401;RvY_05991-1;RvY_06479-1;RvY_06690-1;RvY_07198;RvY_07367-1;RvY_07939-1;RvY_08517-1;RvY_09057-1;RvY_09336-1;RvY_09434-1;RvY_09671-1;RvY_10004-1;RvY_10460;RvY_10644-1;RvY_10668-1;RvY_11067;RvY_11113-1;RvY_11710-1;RvY_11946-1;RvY_13026-1;RvY_13166-1;RvY_13359-1;RvY_13597-1;RvY_13689-1;RvY_13924-1;RvY_14485-1;RvY_14676-1;RvY_15208-1;RvY_15521-1;RvY_15977-1;RvY_16009-1;RvY_16150-1;RvY_17746;RvY_18224-1;RvY_18559-1;RvY_19281-1;RvY_19326-1	7439	6489
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	ko00970	2251	4680	43	55	0.019102621057307864	0.011752136752136752	1.6254593917854692	4.2365528478638745e-6	7.943536589744765e-4	TRUE	RvY_00331-1;RvY_00753-1;RvY_01570-1;RvY_02144-1;RvY_02840-1;RvY_03935;RvY_03956-1;RvY_04310-1;RvY_04929-1;RvY_05344-1;RvY_05427-1;RvY_05500-1;RvY_05568-1;RvY_06243-1;RvY_06511-1;RvY_06512-1;RvY_06546-1;RvY_07065-1;RvY_07142-1;RvY_07193-1;RvY_07499-1;RvY_08786-1;RvY_08939-1;RvY_09533-1;RvY_09572-1;RvY_10560;RvY_10839-1;RvY_10840-1;RvY_11076-1;RvY_12903-1;RvY_13361-1;RvY_14392-1;RvY_14678-1;RvY_16736;RvY_16912;RvY_16965-1;RvY_17102;RvY_17380-1;RvY_17712-1;RvY_18219-1;RvY_18561-1;RvY_18609-1;RvY_18952-1	7439	6489
DES__Highly_Stable__constant__Highly_Stable_Constant	main_class	DES	Highly Stable	constant	Highly Stable Constant	PATHWAY	map00970	2251	4680	43	55	0.019102621057307864	0.011752136752136752	1.6254593917854692	4.2365528478638745e-6	7.943536589744765e-4	TRUE	RvY_00331-1;RvY_00753-1;RvY_01570-1;RvY_02144-1;RvY_02840-1;RvY_03935;RvY_03956-1;RvY_04310-1;RvY_04929-1;RvY_05344-1;RvY_05427-1;RvY_05500-1;RvY_05568-1;RvY_06243-1;RvY_06511-1;RvY_06512-1;RvY_06546-1;RvY_07065-1;RvY_07142-1;RvY_07193-1;RvY_07499-1;RvY_08786-1;RvY_08939-1;RvY_09533-1;RvY_09572-1;RvY_10560;RvY_10839-1;RvY_10840-1;RvY_11076-1;RvY_12903-1;RvY_13361-1;RvY_14392-1;RvY_14678-1;RvY_16736;RvY_16912;RvY_16965-1;RvY_17102;RvY_17380-1;RvY_17712-1;RvY_18219-1;RvY_18561-1;RvY_18609-1;RvY_18952-1	7439	6489
