condition	feature_id	SSI	stability_level	stability_level_clean
des	RvY_00370-1	1	highly_stable	Highly stable
des	RvY_00371-1	1	highly_stable	Highly stable
des	RvY_00372-1	1	highly_stable	Highly stable
des	RvY_00375-1	1	highly_stable	Highly stable
des	RvY_00376-1	1	highly_stable	Highly stable
des	RvY_00384-1	1	highly_stable	Highly stable
des	RvY_00385-1	1	highly_stable	Highly stable
des	RvY_00390-1	1	highly_stable	Highly stable
des	RvY_00391-1	1	highly_stable	Highly stable
des	RvY_00396-1	1	highly_stable	Highly stable
des	RvY_00398	1	highly_stable	Highly stable
des	RvY_00401-1	1	highly_stable	Highly stable
des	RvY_00403	1	highly_stable	Highly stable
des	RvY_00404-1	1	highly_stable	Highly stable
des	RvY_00405	1	highly_stable	Highly stable
des	RvY_00406-1	1	highly_stable	Highly stable
des	RvY_00408-1	1	highly_stable	Highly stable
des	RvY_00409-1	1	highly_stable	Highly stable
des	RvY_00411-1	1	highly_stable	Highly stable
des	RvY_00413-1	1	highly_stable	Highly stable
des	RvY_00414-1	1	highly_stable	Highly stable
des	RvY_00415-1	1	highly_stable	Highly stable
des	RvY_00416-1	1	highly_stable	Highly stable
des	RvY_00418-3	1	highly_stable	Highly stable
des	RvY_00419-1	1	highly_stable	Highly stable
des	RvY_00420-1	1	highly_stable	Highly stable
des	RvY_00421-1	1	highly_stable	Highly stable
des	RvY_00424-1	1	highly_stable	Highly stable
des	RvY_00426	1	highly_stable	Highly stable
des	RvY_00429-1	1	highly_stable	Highly stable
des	RvY_00431	1	highly_stable	Highly stable
des	RvY_00432-1	1	highly_stable	Highly stable
des	RvY_00434-1	1	highly_stable	Highly stable
des	RvY_00436-1	1	highly_stable	Highly stable
des	RvY_00438-1	1	highly_stable	Highly stable
des	RvY_00442-1	1	highly_stable	Highly stable
des	RvY_00443-1	1	highly_stable	Highly stable
des	RvY_00446-1	1	highly_stable	Highly stable
des	RvY_00448-1	1	highly_stable	Highly stable
des	RvY_00449	1	highly_stable	Highly stable
des	RvY_00453-1	1	highly_stable	Highly stable
des	RvY_00454	1	highly_stable	Highly stable
des	RvY_00456-1	1	highly_stable	Highly stable
des	RvY_00457-1	1	highly_stable	Highly stable
des	RvY_00461-1	1	highly_stable	Highly stable
des	RvY_00462-1	1	highly_stable	Highly stable
des	RvY_00463-1	1	highly_stable	Highly stable
des	RvY_00464-1	1	highly_stable	Highly stable
des	RvY_00467-1	1	highly_stable	Highly stable
des	RvY_00468-1	1	highly_stable	Highly stable
des	RvY_00472-1	1	highly_stable	Highly stable
des	RvY_00476-1	1	highly_stable	Highly stable
des	RvY_00477-1	1	highly_stable	Highly stable
des	RvY_00484-1	1	highly_stable	Highly stable
des	RvY_00485-1	1	highly_stable	Highly stable
des	RvY_00487-1	1	highly_stable	Highly stable
des	RvY_00488-1	1	highly_stable	Highly stable
des	RvY_00489-1	1	highly_stable	Highly stable
des	RvY_00491-1	1	highly_stable	Highly stable
des	RvY_00492-1	1	highly_stable	Highly stable
des	RvY_00494-1	1	highly_stable	Highly stable
des	RvY_00496-1	1	highly_stable	Highly stable
des	RvY_00499-1	1	highly_stable	Highly stable
des	RvY_00503-1	1	highly_stable	Highly stable
des	RvY_00504	1	highly_stable	Highly stable
des	RvY_00506-1	1	highly_stable	Highly stable
des	RvY_00507-1	1	highly_stable	Highly stable
des	RvY_00513	1	highly_stable	Highly stable
des	RvY_00515-1	1	highly_stable	Highly stable
des	RvY_00522-1	1	highly_stable	Highly stable
des	RvY_00525-1	1	highly_stable	Highly stable
des	RvY_00526-1	1	highly_stable	Highly stable
des	RvY_00534-1	1	highly_stable	Highly stable
des	RvY_00535-1	1	highly_stable	Highly stable
des	RvY_00537-1	1	highly_stable	Highly stable
des	RvY_00538-1	1	highly_stable	Highly stable
des	RvY_00540	1	highly_stable	Highly stable
des	RvY_00541-1	1	highly_stable	Highly stable
des	RvY_00542-1	1	highly_stable	Highly stable
des	RvY_00544-1	1	highly_stable	Highly stable
des	RvY_00545-1	1	highly_stable	Highly stable
des	RvY_00548-1	1	highly_stable	Highly stable
des	RvY_00549-1	1	highly_stable	Highly stable
des	RvY_00550-1	1	highly_stable	Highly stable
des	RvY_00552	1	highly_stable	Highly stable
des	RvY_00554-1	1	highly_stable	Highly stable
des	RvY_00556-1	1	highly_stable	Highly stable
des	RvY_00559-1	1	highly_stable	Highly stable
des	RvY_00560-1	1	highly_stable	Highly stable
des	RvY_00563-1	1	highly_stable	Highly stable
des	RvY_00564-1	1	highly_stable	Highly stable
des	RvY_00571	1	highly_stable	Highly stable
des	RvY_00576-1	1	highly_stable	Highly stable
des	RvY_00577-1	1	highly_stable	Highly stable
des	RvY_00578-1	1	highly_stable	Highly stable
des	RvY_00579-1	1	highly_stable	Highly stable
des	RvY_00581-1	1	highly_stable	Highly stable
des	RvY_00592-1	1	highly_stable	Highly stable
des	RvY_00595-1	1	highly_stable	Highly stable
des	RvY_00596-1	1	highly_stable	Highly stable
des	RvY_00601-1	1	highly_stable	Highly stable
des	RvY_00602-1	1	highly_stable	Highly stable
des	RvY_00608-1	1	highly_stable	Highly stable
des	RvY_00609-1	1	highly_stable	Highly stable
des	RvY_00610-1	1	highly_stable	Highly stable
des	RvY_00611	1	highly_stable	Highly stable
